draws,lp__,accept_stat__,stepsize__,treedepth__,n_leapfrog__,divergent__,energy__,alpha,beta,sigma
3785,993.8884302825708,0.9589612810463356,0.0034207472301264106,6.0,95.0,0.0,-991.1029256150015,-2.4832461640663133,0.010120103895359564,0.08111313777261851
3786,986.2269482495516,0.9996583855867374,0.003564376648405653,5.0,63.0,0.0,-983.7507144903478,-2.2752654161674823,0.009458160356288029,0.09265080167187029
3787,993.2364709800883,0.9212809586536651,0.004799396755511533,9.0,511.0,0.0,-992.5259556984009,-2.586687181343404,0.010443162588251674,0.08152431141083152
3788,993.9417958612352,0.991009331650385,0.004116071977974781,6.0,71.0,0.0,-993.8973183936963,-2.4500782269548145,0.010019578747002461,0.08459249117188626
3789,993.8072562638636,0.9075047411869609,0.0034207472301264106,9.0,623.0,0.0,-992.2262102980527,-2.535870684328512,0.010296294992405685,0.08480318358361981
3790,985.4563169123624,0.8823918267191995,0.003564376648405653,6.0,91.0,0.0,-983.900937342701,-2.2820176016483074,0.009514553394663484,0.09253845234166105
3791,993.6253719871856,0.5694335469482636,0.004799396755511533,2.0,7.0,0.0,-991.2685993572775,-2.5863476859605687,0.010455360445563281,0.08151072302001393
3792,992.6866257025829,0.8811119892863077,0.004116071977974781,8.0,343.0,0.0,-991.2997524732991,-2.3673906316572486,0.009752300408658553,0.08594053196139519
3793,993.0721534999676,0.9899087030616031,0.0034207472301264106,10.0,1023.0,0.0,-992.9794557338082,-2.528830009154504,0.010265119349603644,0.08652708681213923
3794,986.594166565192,0.9917411884983385,0.003564376648405653,6.0,87.0,0.0,-984.5633440635843,-2.287712576442865,0.009495509041727725,0.09232652778696916
